File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\BivariateFunction.java,120,72,29,18,0,94,7,0,1,8,8,0,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\DifferentiableMultivariateFunction.java,156,96,36,23,0,122,7,0,2,15,9,0,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\DifferentiableMultivariateVectorFunction.java,119,72,28,18,0,94,5,0,1,9,8,0,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\DifferentiableUnivariateFunction.java,111,67,26,17,0,84,7,0,1,9,8,0,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\DifferentiableUnivariateMatrixFunction.java,111,67,26,17,0,84,7,0,1,9,8,0,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\DifferentiableUnivariateVectorFunction.java,111,67,26,17,0,84,7,0,1,9,8,0,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\differentiation\DerivativeStructure.java,8393,3804,2793,1795,2125,1408,2737,185,1067,132,679,56,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\differentiation\DSCompiler.java,21715,8938,7946,4830,7465,1690,4389,2414,4378,278,919,179,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\differentiation\FiniteDifferencesDifferentiator.java,3563,1567,1229,766,1175,657,691,249,523,61,193,11,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\differentiation\GradientFunction.java,571,265,187,118,117,206,95,11,96,10,31,2,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\differentiation\JacobianFunction.java,699,313,238,148,173,216,107,17,135,11,36,2,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\differentiation\MultivariateDifferentiableFunction.java,148,87,37,23,0,112,8,0,7,10,9,0,
E:\Masters\LatestExperiments\StudiedPatches\Math\New\Negative\math_fb\src\main\java\org\apache\commons\math3\analysis\differentiation\MultivariateDifferentiableVectorFunction.java,154,87,41,25,0,112,8,0,12,10,9,0,
